1,9860,14152,1
2,9396,14616,1
3,11252,14848,1
4,11020,13456,1
5,9512,15776,1
6,10788,13804,1
7,10208,14384,1
8,11600,13456,1
9,11252,14036,1
10,10672,15080,1
11,11136,14152,1
12,9860,13108,1
13,10092,14964,1
14,9512,13340,1
15,10556,13688,1
16,9628,14036,0
17,10904,13108,1
18,11368,12644,1
19,11252,13340,1
20,10672,13340,1
21,11020,13108,1
22,11020,13340,1
23,11136,13572,1
24,11020,13688,1
25,8468,11136,1
26,8932,12064,1
27,9512,12412,0
28,7772,11020,1
29,8352,10672,1
30,9164,12876,0
31,9744,12528,0
32,8352,10324,1
33,8236,11020,0
34,8468,12876,1
35,8700,14036,1
36,8932,13688,1
37,9048,13804,0
38,8468,12296,1
39,8352,12644,1
40,8236,13572,1
41,9164,13340,1
42,8004,12760,1
43,8584,13108,1
44,7772,14732,1
45,7540,15080,1
46,7424,17516,1
47,8352,17052,1
48,7540,16820,1
49,7888,17168,1
50,9744,15196,1
51,9164,14964,1
52,9744,16240,1
53,7888,16936,1
54,8236,15428,1
55,9512,17400,1
56,9164,16008,1
57,8700,15312,1
58,11716,16008,1
59,12992,14964,1
60,12412,14964,1
61,12296,15312,1
62,12528,15196,0
63,15312,6612,1
64,11716,16124,1
65,11600,19720,0
66,10324,17516,1
67,12412,13340,1
68,12876,12180,1
69,13688,10904,1
70,13688,11716,1
71,13688,12528,1
72,11484,13224,1
73,12296,12760,1
74,12064,12528,1
75,12644,10556,1
76,11832,11252,1
77,11368,12296,1
78,11136,11020,1
79,10556,11948,1
80,10324,11716,1
81,11484,9512,1
82,11484,7540,1
83,11020,7424,1
84,11484,9744,1
85,16936,12180,0
86,17052,12064,1
87,16936,11832,1
88,17052,11600,1
89,13804,18792,0
90,12064,14964,1
91,12180,15544,1
92,14152,18908,1
93,5104,14616,1
94,6496,17168,1
95,5684,13224,1
96,15660,10788,1
97,5336,10324,1
98,812,6264,1
99,14384,20184,1
100,11252,15776,0
101,9744,3132,1
102,10904,3480,1
103,7308,14848,1
104,16472,16472,1
105,10440,14036,1
106,10672,13804,1
107,1160,18560,1
108,10788,13572,0
109,15660,11368,1
110,15544,12760,1
111,5336,18908,1
112,6264,19140,1
113,11832,17516,1
114,10672,14152,0
115,10208,15196,1
116,12180,14848,1
117,11020,10208,1
118,7656,17052,1
119,16240,8352,1
120,10440,14732,1
121,9164,15544,1
122,8004,11020,1
123,5684,11948,1
124,9512,16472,1
125,13688,17516,1
126,11484,8468,1
127,3248,14152,1
128,9860,14152,0
