0, 22, 22,0
1, 36, 26,1
2, 21, 45,0
3, 45, 35,0
4, 55, 20,1
5, 33, 34,1
6, 50, 50,1
7, 55, 45,1
8, 26, 59,0
9, 40, 66,1
10, 55, 65,1
11, 35, 51,1
12, 62, 35,0
13, 62, 57,1
14, 62, 24,1
15, 21, 36,1
16, 33, 44,1
17, 9, 56,1
18, 62, 48,1
19, 66, 14,0
20, 44, 13,1
21, 26, 13,1
22, 11, 28,1
23, 7, 43,1
24, 17, 64,1
25, 41, 46,1
26, 55, 34,1
27, 35, 16,0
28, 52, 26,1
29, 43, 26,1
30, 31, 76,1
31, 22, 53,1
32, 26, 29,0
33, 50, 40,1
34, 55, 50,1
35, 54, 10,0
36, 60, 15,1
37, 47, 66,1
38, 30, 60,1
39, 30, 50,1
40, 12, 17,1
41, 15, 14,1
42, 16, 19,1
43, 21, 48,1
44, 50, 30,0
45, 51, 42,1
46, 50, 15,1
47, 48, 21,1
48, 12, 38,1
49, 15, 56,1
50, 29, 39,1
51, 54, 38,1
52, 55, 57,1
53, 67, 41,1
54, 10, 70,1
55, 6, 25,1
56, 65, 27,1
57, 40, 60,0
58, 70, 64,1
59, 64, 4,0
60, 36, 6,1
61, 30, 20,1
62, 20, 30,1
63, 15, 5,1
64, 50, 70,0
65, 57, 72,1
66, 45, 42,1
67, 38, 33,0
68, 50, 4,0
69, 66, 8,1
70, 59, 5,1
71, 35, 60,1
72, 27, 24,0
73, 40, 20,1
74, 40, 37,1
75, 40, 40,1
76, 22, 22,0
